id,slug,site,enricher_carrier_type,photo_count,about,verified
338,drcomfortllc,"https://client.housecallpro.com/reviews/Dr.-Comfort,-LLC-Southeastern-mechanical-and-plumbing-contractors/9d8e55a5-debc-4a21-b87b-a76650c39af6/",mobile,15,"{""Service options"": {""Language assistance"": ""English, Spanish""}}",1
339,dthheatingair,,mobile,,{},1
340,segarsaircontrolinc,https://segarsaircontrol.com/,,11,"{""From the business"": {""Small business"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
341,leamonservices,,mobile,,{},1
342,goodmanhvacr,http://www.goodmanhvacr.com/,mobile,8,"{""From the business"": {""Identifies as Asian-owned"": true}, ""Other"": {""Identifies as Asian-owned"": true}}",1
343,jcacheatingandcooling,https://www.jcacbhm.com/,mobile,2,"{""Service options"": {""Language assistance"": ""Spanish""}}",1
344,hendersonheatingandairllc,,,2,{},1
345,optimistheatingandcoolingllc,http://www.optimisthvac.com/,mobile,6,"{""Service options"": {""Online estimates"": false}, ""Offerings"": {""Repair services"": true}}",1
346,dunnshvacplumbingelectrical,https://calldunns.com/?utm_source=GBP+Pelham,,69,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
347,hvachomepros1,https://www.hvachomepros.com/,landline,9,{},1
348,pettwayheatingair,,mobile,11,{},1
349,redwolfheatingair,https://www.redwolfhvac.com/,,14,{},1
350,preferredheatingandair,https://www.preferredheatingandairllc.com/,,17,"{""Offerings"": {""Repair services"": true}}",1
351,temperaturepro1,https://temperaturepro.com/pelham-al/?utm_source=google,,183,"{""Offerings"": {""Repair services"": true}}",1
352,bkcomfortservicesllc,http://www.bkcomfort.com/,mobile,1,{},1
353,hollandairservicesllc,,mobile,2,{},1
354,1stchoiceheatingandcooling,http://1stchoiceair.com/,,97,"{""From the business"": {""Identifies as women-owned"": true, ""Small business"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as women-owned"": true}}",1
355,cavalryclimate,,,21,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as veteran-owned"": true}}",1
356,webbcomfortheatingcooling,https://webbcomforthvac.com/,,6,"{""From the business"": {""Identifies as women-owned"": true}, ""Other"": {""Identifies as women-owned"": true}}",1
357,poseyheatingandairllc,,mobile,,{},1
358,smartwayacheating,https://smartwayhvac.com/hoover-al/,,1,{},1
359,absoluteair1,https://absairinc.com/birmingham,,41,{},1
